DataZone,IncRate,EduAttend,EduAttain,EduPartici,EduUniver,CrimeRate,HouseOCrat,HouseNCrat
S01006506,0.08,0.85,5.88,0,0.3,0.0125,0.1,0.01
S01006507,0.05,0.85,5.96,0.02,0.12,0.0128,0.1,0
S01006508,0.06,0.9,5.75,0.01,0.19,0.013,0.05,0.01
S01006509,0.1,0.94,6.2,0,0.25,0.0075,0.07,0.01
S01006510,0.1,0.8,5.87,0.06,0.16,0.0168,0.09,0.01
S01006511,0.04,0.9,5.79,0.02,0.13,0,0.04,0.01
S01006512,0.02,0.93,5.86,0,0.15,0.0132,0.05,0.02
S01006513,0.02,0.94,6.1,0.03,0.28,0,0.03,0.01
S01006514,0.02,0.94,6.5,0.01,0.22,0.0081,0.01,0
S01006515,0.01,0.96,6,0,0.2,0,0.04,0
S01006516,0.02,0.4,6.18,0,0.13,0.0129,0.03,0
S01006517,0.02,0.92,6,0.01,0.35,0.0077,0.04,0.01
S01006518,0.01,0.4,6.5,0,0.3,0,0,0
S01006519,0.02,0.94,6.61,0,0.32,0.0075,0.01,0
S01006520,0.01,0.95,6.4,0,0.22,0,0.02,0
S01006521,0.01,0.94,6.28,0.02,0.29,0.0064,0.01,0
S01006522,0,0.4,6.5,0,0.26,0.0045,0.01,0
S01006523,0.03,0.94,6.21,0,0.28,0.0106,0.02,0.01
S01006524,0.1,0.4,6.53,0.06,0.2,0.0029,0.03,0.01
S01006525,0.03,0.92,6.3,0.02,0.3,0.0067,0.03,0.01
S01006526,0.12,0.72,4.58,0.03,0.02,0.0066,0.18,0.01
S01006527,0.16,0.73,4.96,0.05,0.04,0.0255,0.11,0
S01006528,0.09,0.83,5.39,0.01,0.04,0.0176,0.16,0.01
S01006529,0.09,0.83,5.28,0.1,0.05,0.0413,0.18,0.04
S01006530,0.15,0.71,4.62,0.07,0.05,0.0271,0.15,0.03
S01006531,0.18,0.61,4.57,0.08,0.04,0.03,0.2,0.01
S01006532,0.04,0.4,5.5,0.02,0.16,0.0204,0.03,0.01
S01006533,0.02,0.9,6.29,0,0.24,0.0155,0,0
S01006534,0.02,0.94,5.69,0,0.17,0.0201,0.02,0.02
S01006535,0.03,0.87,5.89,0,0.12,0.0145,0.11,0.02
S01006536,0.04,0.85,5.67,0.03,0.07,0.0363,0.16,0.04
S01006537,0.02,0.4,6.24,0.02,0.19,0,0.03,0
S01006538,0.01,0.4,5.91,0.03,0.27,0,0.02,0.01
S01006539,0.02,0.4,6.38,0.01,0.19,0.0065,0.03,0.01
S01006540,0.02,0.93,5.81,0,0.21,0.0087,0.06,0.01
S01006541,0.03,0.4,6.14,0,0.29,0.0035,0.02,0
S01006542,0.01,0.4,5.3,0,0.25,0.0072,0.03,0.01
S01006543,0.02,0.94,6.07,0.02,0.2,0,0.01,0
S01006544,0.02,0.4,5.75,0,0.24,0.0024,0.11,0
S01006545,0.03,0.89,6.11,0,0.12,0.0172,0.06,0.02
S01006546,0.02,0.4,6.67,0,0.32,0,0.01,0.01
S01006547,0.08,0.95,6.13,0.02,0.18,0.0318,0.07,0.02
S01006548,0.02,0.4,6.08,0.02,0.21,0,0.02,0.01
S01006549,0.01,0.4,6.4,0,0.28,0.0102,0.04,0
S01006550,0.01,1,6.27,0,0.23,0.009,0.03,0
S01006551,0.17,0.86,5.5,0.05,0.12,0.069,0.14,0.03
S01006552,0.03,0.87,5.71,0,0.11,0.0103,0.02,0.01
S01006553,0.05,0.4,5.88,0.01,0.12,0.0123,0.07,0.01
S01006554,0.09,0.87,5.29,0,0.09,0.0521,0.14,0.01
S01006555,0.14,0.78,4.81,0.05,0.09,0.0733,0.19,0.01
S01006556,0.16,0.86,5.32,0.07,0.12,0.0239,0.16,0.01
S01006557,0.17,0.77,5.08,0.06,0.04,0.0224,0.14,0
S01006558,0.03,0.4,2.89,0,0.12,0.0153,0.09,0.04
S01006559,0.01,0.4,6,0,0.2,0.0135,0.06,0
S01006560,0.02,0.93,6.08,0.02,0.21,0.008,0.04,0.01
S01006561,0.01,0.94,6.09,0.04,0.19,0.0167,0.03,0
S01006562,0.06,0.84,5.79,0,0.27,0.0146,0.08,0.01
S01006563,0.04,0.88,6,0,0.29,0.1406,0.11,0.01
S01006564,0.1,0.75,5.31,0.05,0.08,0.0302,0.22,0.04
S01006565,0.09,0.71,2.89,0.09,0.02,0.0223,0.33,0.06
S01006566,0.05,0.88,5.92,0,0.08,0.0266,0.13,0.03
S01006567,0.13,0.77,2.89,0.04,0.02,0.0367,0.27,0.06
S01006568,0.03,0.76,5.43,0.05,0.07,0.0264,0.2,0.05
S01006569,0.06,0.4,6,0,0.06,0.0162,0.16,0.03
S01006570,0.01,0.4,6.31,0,0.15,0.0123,0.07,0.01
S01006571,0.03,0.93,6.33,0.03,0.21,0.0589,0.06,0.03
S01006572,0.01,0.4,6.56,0,0.41,0.0159,0.03,0.01
S01006573,0.02,0.92,6.17,0,0.28,0.0064,0.02,0.01
S01006574,0.02,0.4,6.45,0,0.24,0.0309,0.03,0.01
S01006575,0.01,0.4,6.52,0,0.16,0.0134,0.04,0.01
S01006576,0.02,0.92,6.17,0,0.17,0.0416,0.06,0.01
S01006577,0.02,0.4,5.8,0,0.18,0.0149,0.13,0.03
S01006578,0.05,0.81,6,0.02,0.06,0.0192,0.21,0.05
S01006579,0.03,0.4,6.6,0.04,0.05,0.0184,0.18,0.03
S01006580,0.04,0.85,6.56,0.02,0.29,0.0168,0.15,0.05
S01006581,0.01,0.91,6.54,0,0.21,0.0043,0.03,0.02
S01006582,0.04,0.4,2.89,0.24,0.04,0.3754,0.18,0.06
